old	new	confidence	reason	def_file
func_80B57350	EnZl3_OfferTalk	HIGH	while the player is within 0x4300 of the facing direction, sets the attention/friendly flags and offers the EnZl3_GetTextIdForScene textbox	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B573C8	EnZl3_IsTextClosing	HIGH	Message_GetState == TEXT_STATE_CLOSING, normalized to 0/1	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B573FC	EnZl3_IsPlayerWithin	HIGH	squared xz distance to the player against the squared radius argument	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57458	EnZl3_IsPlayerAhead	GUESS	true when the player sits within 0x1555 of the current path-segment heading, or within 0x4000 of it and closer than 150 units -- the test for whether the player has got in front of Zelda	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57564	EnZl3_ShouldWaitForPlayer	GUESS	true when the player is within 50 units or EnZl3_IsPlayerAhead; the condition that stops Zelda walking on	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B575B0	EnZl3_IsPlayerWithin150	HIGH	EnZl3_IsPlayerWithin with a radius of 150	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B575D0	EnZl3_IsPlayerWithin50	HIGH	EnZl3_IsPlayerWithin with a radius of 50	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B575F0	EnZl3_IsAtStalfosWaypoint	GUESS	true for switch flag 0x26 in the tower interior at waypoint 1 -- the one spot where the Stalfos ambush is staged	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5764C	EnZl3_PlayWaypointCutscene	GUESS	fires OnePointCutscene 1000 when the next waypoint would be 1 at the same interior/flag-0x26 spot EnZl3_IsAtStalfosWaypoint tests	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B576C8	EnZl3_ShouldStageStalfosAmbush	GUESS	EnZl3_IsAtStalfosWaypoint and the unk_3D8 once-only latch still clear	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57704	EnZl3_SetRotZSwitchFlag	GUESS	Flags_SetSwitch of unk_3C4, the flag stashed out of the spawn rot.z at init	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5772C	EnZl3_UnsetRotZSwitchFlag	GUESS	Flags_UnsetSwitch of the same unk_3C4 flag EnZl3_SetRotZSwitchFlag sets	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57754	EnZl3_SpawnMagicWipe	GUESS	while no magic effect is running, spawns ACTOR_OCEFF_WIPE4 at the actor and plays the Zelda-power cue	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B577BC	EnZl3_SpawnStalfosAt	HIGH	spawns ACTOR_EN_TEST facing the player at the given position, behind the VB_ADULT_ZELDA_SPAWN_STALFOS_IN_COLLAPSE hook	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57858	EnZl3_SpawnStalfosPair	HIGH	two EnZl3_SpawnStalfosAt calls, at sStalfosSpawnPos0 and sStalfosSpawnPos1	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57890	EnZl3_IsAtExpectedSpawn	GUESS	the per-scene table pairing each switch-flag index with the play->curSpawn entrance it belongs to; decides whether this copy of Zelda should exist at all	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57A74	EnZl3_DisableCollapseSpawners	HIGH	sets collapseSpawnerInactive on every EnEncount2; carries the upstream bug note that the search walks ACTORCAT_PROP while EnEncount2 lives in ACTORCAT_ENEMY	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57AAC	EnZl3_ChangeToAnimOnAnimDone	GUESS	the parameterised form of the ChangeAnimOnAnimDone helpers: on animation end changes to whichever animation the caller passes	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57AE0	EnZl3_SetupNextPathSegment	GUESS	advances unk_314 to the next waypoint, records the start position, reads the target from the path (or projects 200 units ahead when the path runs out) and derives the frame count from the distance	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57C54	EnZl3_HasReachedPathTarget	GUESS	the walk frame counter unk_344 has reached the segment length unk_346 computed by EnZl3_SetupNextPathSegment	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57C7C	EnZl3_ReturnTrue	HIGH	returns 1 unconditionally, ignoring both arguments -- a stubbed-out condition in EnZl3_StartEndingIfPlayerClose	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57C8C	EnZl3_IsOnLastPathSegment	GUESS	true when the path has no waypoint two ahead of the current one	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57CB4	EnZl3_WalkAlongPathSegment	GUESS	advances unk_344 and Environment_LerpWeightAccelDecel-s the position from unk_348 to unk_354 over the segment	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57D60	EnZl3_UpdatePathYaw	GUESS	the PlayState-taking wrapper the action handlers call, forwarding to EnZl3_StepYawToCurrentPathPoint	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57D80	EnZl3_TrackPathPoint	GUESS	aims the NpcInteractInfo tracking at a point on the current path heading rather than at the player, snaps shape.rot.y once the error drops under 0x320, and returns the remaining error	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57EAC	EnZl3_OfferTalkOnPath	GUESS	the action-25 body: a talk request moves to action 26, otherwise it keeps offering the scene textbox	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57EEC	EnZl3_ResumeEscapeOnTextEnd	GUESS	the action-26 body: on TEXT_STATE_CLOSING returns to the escape idle, action 27	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57F1C	EnZl3_StartWalkWhenFacingPath	GUESS	the action-27 body: once EnZl3_TrackPathPoint reports Zelda has turned onto the path, starts the walk animation, action 34, and sets up the segment	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B57F84	EnZl3_StartEndingIfPlayerClose	GUESS	when the player is within 50 units and not in a cutscene, starts the ending animation, action 36, and disables the collapse spawners	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58014	EnZl3_UpdateEscapeIdle	GUESS	the action-28 body and the hub of the collapse escape: routes to talking (29), the ending (36), the Stalfos ambush (0x1F), walking on (34) or the hurt reaction (30)	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58214	EnZl3_ReturnToEscapeIdleOnTextEnd	GUESS	the action-29 body: on TEXT_STATE_CLOSING returns to the escape idle, action 28	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58268	EnZl3_ReturnToEscapeIdleWhenPlayerSafe	GUESS	the action-30 body: once the player is neither invincible nor falling far, returns to the escape idle, action 28	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B582C8	EnZl3_RunStalfosAmbushCutscene	GUESS	the action-0x1F body: a unk_3CC frame timeline that swaps animations, sets the switch flag, spawns the Stalfos pair, finishes the camera and hands over to action 32	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B584B4	EnZl3_WaitForStalfosDefeated	GUESS	the action-32 body: waits until Actor_FindNearby reports no enemy within 8000 units, swapping the cowering animation in and out via sReactingToPlayerHurt, then starts cutscene 4011 and action 33	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58624	EnZl3_RunStalfosClearedCutscene	GUESS	the action-33 body: a unk_3CC frame timeline that clears the switch flag, shows textbox 0x71AC, drops five collectibles and returns to action 28	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5884C	EnZl3_SetupAction37	HIGH	changes to gZelda2Anime2Anim_0038C0, sets action = 37 and the unk_36C once-only latch	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58898	EnZl3_SetupAction38	HIGH	changes to gZelda2Anime2Anim_0038C0 played in reverse, sets action = 38 and the unk_374 once-only latch	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B588E8	EnZl3_SetupAction39	HIGH	changes to gZelda2Anime2Anim_009BE4, sets up the next path segment and sets action = 39	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58938	EnZl3_ReturnToIdleAtPathTarget	GUESS	when EnZl3_HasReachedPathTarget fires, stops on the idle animation at action 28 and reports it	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5899C	EnZl3_ReactToPlayerHurtOnGround	GUESS	while grounded, an invincible or hard-falling player swaps in the reaction animation at action 35	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58A1C	EnZl3_UpdateWalking	GUESS	the action-34 body: EnZl3_ReturnToIdleAtPathTarget first, and only if it did not fire does the hurt reaction get a chance	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58A50	EnZl3_ResumeWalkWhenPlayerSafe	GUESS	the action-35 body: once the player is neither invincible nor falling far, resumes the walk animation at action 34	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58AAC	EnZl3_RunEndingSequence	GUESS	the action-36..38 body: a unk_2EC frame timeline that fires the magic wipe, sets the switch flag and steps through actions 37, 38 and 39	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58C08	EnZl3_FadeOutAlongPath	GUESS	the action-39 body: walks the last segment while fading alpha out over the final kREG(11)+2 frames, switching to draw config 2, then kills the actor	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58D50	EnZl3_Action25	HIGH	sActionFuncs[25]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58DB0	EnZl3_Action26	HIGH	sActionFuncs[26]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58E10	EnZl3_Action27	HIGH	sActionFuncs[27]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58E7C	EnZl3_Action28	HIGH	sActionFuncs[28]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58EF4	EnZl3_Action29	HIGH	sActionFuncs[29]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58F6C	EnZl3_Action30	HIGH	sActionFuncs[30]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B58FDC	EnZl3_Action31	HIGH	sActionFuncs[31]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5904C	EnZl3_Action32	HIGH	sActionFuncs[32]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B590BC	EnZl3_Action33	HIGH	sActionFuncs[33]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5912C	EnZl3_Action34	HIGH	sActionFuncs[34]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B591BC	EnZl3_Action35	HIGH	sActionFuncs[35]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5922C	EnZl3_Action36	HIGH	sActionFuncs[36]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B592A8	EnZl3_Action37	HIGH	sActionFuncs[37]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59340	EnZl3_Action38	HIGH	sActionFuncs[38]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B593D0	EnZl3_Action39	HIGH	sActionFuncs[39]	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59698	EnZl3_ShouldStartCollapseEscape	GUESS	switch 0x37 set, one of the four collapse/boss scenes loaded, flag index 0x20 at spawn 0, and the sub-timer expired or off	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59768	EnZl3_ShouldPlayRevengeSfx	GUESS	the same test as EnZl3_ShouldStartCollapseEscape without the SUBTIMER_STATE_OFF allowance, so it fires only when the timer actually ran out	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59828	EnZl3_InitInCollapse	GUESS	the type-3 init: if this copy belongs at this entrance it faces down the path at action 28, otherwise it kills itself; on a genuine timer expiry it also restarts the timer, refills health and magic and clears the per-waypoint switch flags	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59A80	EnZl3_PlayRevengeSfx	GUESS	plays NA_SE_OC_REVENGE when EnZl3_ShouldPlayRevengeSfx fires; called from EnZl3_Init for type 3	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59AD0	EnZl3_StartCollapseEscape	GUESS	sets switch 0x36, starts the 180-second sub-timer, spawns the EnEg and river sound, reads the path, refills health and magic and enters action 27	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59B6C	EnZl3_InitByType	GUESS	caches the seven animation lengths the hair springs need, then dispatches EnZl3_GetType to the inFinal, inFinal2 or collapse init	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59DB8	EnZl3_Action0	HIGH	sActionFuncs[0]: waits for OBJECT_ZL2_ANIME2 to load, then points the segment at it and runs EnZl3_InitByType	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59FE8	EnZl3_DrawNothing	HIGH	sDrawFuncs[0]: an empty body	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B59FF4	EnZl3_DrawOpa	HIGH	sDrawFuncs[1]: SkelAnime_DrawFlex into POLY_OPA_DISP after Gfx_SetupDL_25Opa	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
func_80B5A1D0	EnZl3_DrawXlu	HIGH	sDrawFuncs[2]: SkelAnime_DrawFlex into POLY_XLU_DISP after Gfx_SetupDL_25Xlu, using this->alpha	soh/src/overlays/actors/ovl_En_Zl3/z_en_zl3.c
